adapter_id,split,chron_segment,direction,session_slice,trend_regime,adx_bucket,trade_count,net_profit,profit_factor,expectancy,win_rate,mfe_mean,mae_mean,mfe_capture_ratio,max_closed_trade_drawdown,stage99_read
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,mid,buy,early,downtrend,adx_gt25,17,57.41,2.159330,3.377059,0.647059,9.919588,8.073912,0.340443,27.47,context_slice_measurement
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,mid,buy,early,range_or_weak_trend,adx_lt20,5,9.65,1.719076,1.930000,0.800000,9.159300,9.745700,0.210715,13.42,context_slice_measurement
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,mid,buy,late,range_or_weak_trend,adx_lt20,1,55.28,inf,55.280000,1.000000,66.933000,9.379500,0.825901,0.00,context_slice_measurement
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,mid,buy,mid,downtrend,adx_20_25,5,-26.98,0.345781,-5.396000,0.400000,6.713720,14.526800,-0.803727,26.98,negative_context_slice
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,mid,buy,mid,downtrend,adx_gt25,2,37.81,inf,18.905000,1.000000,25.592250,11.649500,0.738700,0.00,context_slice_measurement
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,mid,buy,mid,range_or_weak_trend,adx_lt20,4,-32.24,0.085390,-8.060000,0.250000,4.942875,14.810400,-1.630630,32.24,negative_context_slice
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,mid,sell,early,downtrend,adx_20_25,1,75.35,inf,75.350000,1.000000,83.087500,11.900000,0.906875,0.00,context_slice_measurement
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,mid,sell,early,downtrend,adx_gt25,8,103.12,3.434947,12.890000,0.625000,29.560313,11.801312,0.436058,24.57,context_slice_measurement
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,mid,sell,early,range_or_weak_trend,adx_lt20,1,49.53,inf,49.530000,1.000000,50.587500,14.820000,0.979096,0.00,context_slice_measurement
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,mid,sell,late,downtrend,adx_20_25,1,27.57,inf,27.570000,1.000000,33.330000,4.400000,0.827183,0.00,context_slice_measurement
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,mid,sell,late,downtrend,adx_gt25,1,-16.11,0.000000,-16.110000,0.000000,8.148000,19.005000,-1.977172,16.11,negative_context_slice
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,mid,sell,mid,downtrend,adx_gt25,3,9.62,1.629993,3.206667,0.666667,10.000000,11.155000,0.320667,15.27,context_slice_measurement
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,validation_is,early,buy,early,downtrend,adx_20_25,5,-9.82,0.368489,-1.964000,0.600000,7.050340,6.953840,-0.278568,15.55,negative_context_slice
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,validation_is,early,buy,early,downtrend,adx_gt25,18,45.03,2.193480,2.501667,0.722222,7.303178,5.675594,0.342545,18.45,context_slice_measurement
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,validation_is,early,buy,early,range_or_weak_trend,adx_lt20,5,-27.47,0.200756,-5.494000,0.400000,5.350980,11.606680,-1.026728,33.64,negative_context_slice
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,validation_is,early,buy,late,downtrend,adx_20_25,2,18.00,22.428571,9.000000,0.500000,10.934050,6.044750,0.823117,0.84,context_slice_measurement
