candidate_id,split,period,trade_count,net,pf,dd_pct,calendar_trades_day,positive_period,active_period
f80b_14920,validation,2025-09,6,-0.6387095501810112,0.8524590163934427,0.43290313956713367,0.21428571428571427,0,1
f80b_14920,oos,2025-10,94,15.419513057286583,1.263943512261787,1.9232254233228103,3.1333333333333333,1,1
f80b_14920,oos,2025-11,205,29.895155334861226,1.2321256371401026,4.101934666718058,8.91304347826087,1,1
f80b_14920,oos,2025-12,41,4.790321626357581,1.1867219917012446,1.5541932387738029,1.3666666666666667,1,1
f80b_14920,oos,2026-01,56,-2.0048383102904013,0.9473438956197577,2.1716124706154463,2.0,0,1
f80b_14920,oos,2026-02,177,60.837084654741304,1.6289435069699192,1.8061286724562933,7.08,1,1
f80b_14920,oos,2026-03,156,23.89838233593949,1.2497219132369293,1.6464512849110409,5.379310344827586,1,1
f80b_14920,oos,2026-04,51,17.77741581337147,1.6398467432950188,0.6493547093507004,4.25,1,1
f80b_12181,validation,2025-01,64,27.374026804841176,1.8159175039661555,0.9935481891704739,2.206896551724138,1,1
f80b_12181,validation,2025-02,49,14.299997151274864,1.5081967213114755,1.2987094187014008,1.96,1,1
f80b_12181,validation,2025-03,64,12.703223275822337,1.3260473588342439,1.4016126240083282,2.2857142857142856,1,1
f80b_12181,validation,2025-04,322,64.5584548811432,1.3296790414278925,3.0941929319880046,11.10344827586207,1,1
f80b_12181,validation,2025-05,5,-2.4838704729261547,0.42622950819672134,0.4329031395671223,0.1724137931034483,0,1
f80b_12181,validation,2025-06,5,0.4657257136736541,1.1434426229508197,0.43290313956713367,0.17857142857142858,1,1
f80b_12181,validation,2025-07,17,-15.426609830066367,0.10683102208525937,3.0303219769699012,0.5666666666666667,0,1
f80b_12181,validation,2025-08,20,7.6290307382731894,1.7049180327868851,1.0822578489178227,0.7142857142857143,1,1
f80b_12181,validation,2025-09,12,-10.059675415350927,0.15499254843517138,1.7954835132866152,0.42857142857142855,0,1
f80b_12181,oos,2025-10,30,5.63306339395753,1.3061716489874642,0.9935481891704626,1.0,1,1
f80b_12181,oos,2025-11,112,19.30322196102612,1.278688524590164,2.8529026574751812,4.869565217391305,1,1
f80b_12181,oos,2025-12,27,-10.148385075098293,0.5292181069958847,2.150322152276067,0.9,0,1
f80b_12181,oos,2026-01,25,0.6209676182315365,1.0377155172413792,1.4406448742971634,0.8928571428571429,1,1
f80b_12181,oos,2026-02,125,14.814513177809552,1.1894283121597093,3.3106445017715718,5.0,1,1
f80b_12181,oos,2026-03,149,54.52095688072908,1.679266136162688,1.6464512849110633,5.137931034482759,1,1
f80b_12181,oos,2026-04,41,13.430642485750703,1.5932601880877741,1.5045158293152667,3.4166666666666665,1,1
f80b_13540,validation,2025-01,102,33.15257404078439,1.578979983887959,1.0822578489178112,3.5172413793103448,1,1
f80b_13540,validation,2025-02,102,18.416125363552492,1.2933860938383264,1.2738707139721215,4.08,1,1
f80b_13540,validation,2025-03,166,51.6786993824236,1.549056568207952,2.069064103947494,5.928571428571429,1,1
f80b_13540,validation,2025-04,238,35.32063812500993,1.2367055270526555,3.9635475975121603,8.206896551724139,1,1
f80b_13540,validation,2025-05,27,11.773546041669974,1.8368221941992433,0.8658062791342559,0.9310344827586207,1,1
f80b_13540,validation,2025-06,17,-3.7612895732881766,0.7103825136612021,1.3625803737194928,0.6071428571428571,0,1
f80b_13540,validation,2025-07,19,-0.07096772779788973,0.994535519125683,0.7770966193868958,0.6333333333333333,0,1
f80b_13540,validation,2025-08,32,-5.358063448740704,0.7749627421758571,2.267418903142595,1.1428571428571428,0,1
f80b_13540,validation,2025-09,19,5.783869815528046,1.5344262295081965,0.8658062791342559,0.6785714285714286,1,1
f80b_13540,oos,2025-10,87,17.140480456385422,1.3233536942515267,1.618064193791895,2.9,1,1
f80b_13540,oos,2025-11,146,11.78064281444977,1.1236959761549923,2.3951608131787907,6.3478260869565215,1,1
f80b_13540,oos,2025-12,70,24.838704729261536,1.654511453950444,1.8841931730339865,2.3333333333333335,1,1
f80b_13540,oos,2026-01,69,5.109676401448084,1.1154771451483558,3.182902591735365,2.4642857142857144,1,1
f80b_13540,oos,2026-02,130,21.37902799911439,1.2698163905060453,2.0296770150196606,5.2,1,1
f80b_13540,oos,2026-03,106,10.946772012824546,1.1636604774535804,4.179999167295727,3.6551724137931036,1,1
f80b_13540,oos,2026-04,16,1.099999780867296,1.1068965517241376,1.2348384636832976,1.3333333333333333,1,1
f80b_16420,validation,2025-01,77,13.370319917122504,1.2808377431616604,1.3604513418855617,2.6551724137931036,1,1
f80b_16420,validation,2025-02,73,5.890321407224884,1.1236959761549925,1.5790319435030595,2.92,1,1
f80b_16420,validation,2025-03,153,16.02717422655602,1.1628303111143155,4.470966851267076,5.464285714285714,1,1
f80b_16420,validation,2025-04,103,46.663055220307704,1.879926396788223,1.3377416689902248,3.5517241379310347,1,1
f80b_16420,validation,2025-05,44,-9.562901320765697,0.7149656266525649,2.8529026574751812,1.5172413793103448,0,1
f80b_16420,validation,2025-06,17,2.0935479700377595,1.1934426229508197,1.0822578489178227,0.6071428571428571,1,1
f80b_16420,validation,2025-07,25,2.217741493684068,1.1366120218579232,0.9296772341523593,0.8333333333333334,1,1
f80b_16420,validation,2025-08,37,6.7951599366479805,1.2989851678376272,1.7067738535392663,1.3214285714285714,1,1
f80b_16420,validation,2025-09,21,-2.2354834256335385,0.8524590163934426,2.011935083070193,0.75,0,1
f80b_16420,oos,2025-10,83,15.592496893793939,1.3067378671273753,1.8983867185935537,2.7666666666666666,1,1
f80b_16420,oos,2025-11,160,49.32257081953365,1.5425448868071827,1.2099997589540294,6.956521739130435,1,1
f80b_16420,oos,2025-12,70,12.916126459215992,1.3063973063973062,1.029032053069409,2.3333333333333335,1,1
f80b_16420,oos,2026-01,74,2.8919349077640177,1.0597945707997065,1.8841931730339865,2.642857142857143,1,1
f80b_16420,oos,2026-02,138,45.348378062851786,1.5955265610438016,1.5364513068243242,5.52,1,1
f80b_16420,oos,2026-03,110,15.612900115535812,1.2298850574712639,2.6293543149118253,3.793103448275862,1,1
f80b_16420,oos,2026-04,9,-0.4790321626357592,0.9224137931034481,0.4116128212277658,0.75,0,1
f80b_20020,validation,2025-01,77,13.370319917122504,1.2808377431616604,1.3604513418855617,2.6551724137931036,1,1
f80b_20020,validation,2025-02,73,5.890321407224884,1.1236959761549925,1.5790319435030595,2.92,1,1
