attempt_name,artifact_slug,axis,bucket,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,max_drawdown
m48_plain_sp,m48_plain,rate_change_regime,us10yr_change_down,27,67.61,141.66,-74.05,1.913032,2.504074,0.62963,45.59
m48_plain_sp,m48_plain,rate_change_regime,us10yr_change_flat,13,47.18,65.55,-18.37,3.568318,3.629231,0.769231,11.22
m48_plain_sp,m48_plain,rate_change_regime,us10yr_change_up,29,58.63,143.28,-84.65,1.692617,2.021724,0.586207,48.05
u42_bal_sp,u42_bal,rate_change_regime,us10yr_change_missing,70,3.99,315.91,-311.92,1.012792,0.057,0.557143,62.75
u42_plain_sp,u42_plain,rate_change_regime,us10yr_change_missing,72,120.78,344.98,-224.2,1.538715,1.6775,0.638889,63.93
c56_bal_sp,c56_bal,spread_regime,spread_low,70,43.24,333.96,-290.72,1.148734,0.617714,0.557143,80.24
c56_plain_sp,c56_plain,spread_regime,spread_low,70,165.66,356.66,-191.0,1.86733,2.366571,0.585714,40.92
m48_bal_sp,m48_bal,spread_regime,spread_low,71,116.19,348.9,-232.71,1.499291,1.636479,0.605634,42.06
m48_plain_sp,m48_plain,spread_regime,spread_low,69,173.42,350.49,-177.07,1.979387,2.513333,0.637681,40.25
u42_bal_sp,u42_bal,spread_regime,spread_low,70,3.99,315.91,-311.92,1.012792,0.057,0.557143,62.75
u42_plain_sp,u42_plain,spread_regime,spread_low,72,120.78,344.98,-224.2,1.538715,1.6775,0.638889,63.93
