time_open_unix,time_close_unix,contract_symbol,broker_symbol,timeframe,price_basis,open,high,low,close,tick_volume,spread_points,real_volume,time_basis,timezone_status
1777321500,1777321800,TSLA,TSLA.xnas,M5,Bid,377.17,377.89,376.98,377.57,574,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777321800,1777322100,TSLA,TSLA.xnas,M5,Bid,377.57,379.61,377.52,379.38,754,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777322100,1777322400,TSLA,TSLA.xnas,M5,Bid,379.34,379.72,378.1,378.89,706,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777322400,1777322700,TSLA,TSLA.xnas,M5,Bid,378.88,379.25,378.43,378.47,480,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777322700,1777323000,TSLA,TSLA.xnas,M5,Bid,378.49,378.49,377.5,377.94,549,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777323000,1777323300,TSLA,TSLA.xnas,M5,Bid,377.94,378.94,377.67,378.86,470,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777323300,1777323600,TSLA,TSLA.xnas,M5,Bid,378.82,379.59,378.57,379.45,547,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777323600,1777323900,TSLA,TSLA.xnas,M5,Bid,379.46,380.74,379.39,380.1,694,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777323900,1777324200,TSLA,TSLA.xnas,M5,Bid,380.08,380.08,378.66,378.88,585,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777324200,1777324500,TSLA,TSLA.xnas,M5,Bid,378.86,379.71,378.8,379.07,461,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777324500,1777324800,TSLA,TSLA.xnas,M5,Bid,379.11,380.19,379.05,380.06,386,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777324800,1777325100,TSLA,TSLA.xnas,M5,Bid,380.03,380.08,379.38,379.92,409,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777325100,1777325400,TSLA,TSLA.xnas,M5,Bid,379.92,380.04,378.48,378.72,441,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
