record_type,feature_index,item_index,value,score_short,score_flat,score_long
score,5,20,,0.018111493067102986,-0.02301378684624417,0.0073864098866072677
score,5,21,,0.017169369499032233,-0.021695509363054959,0.0071490423996629733
score,5,22,,0.01747940310089266,-0.025365875954084179,0.010054239573727801
score,5,23,,0.018586372901768705,-0.037265984482393461,0.020472323064497373
score,5,24,,0.021677614728913743,-0.047234938167217959,0.026732496427155243
score,5,25,,0.019301830681162892,-0.051495669705173649,0.032580901312884478
score,5,26,,0.018975722381900074,-0.050676983836230399,0.032277235710563901
score,5,27,,0.020255010138933077,-0.054342511583538311,0.033886254480721495
score,5,28,,0.020255010138933077,-0.054342511583538311,0.033886254480721495
score,5,29,,0.014997104309533098,-0.063314805392367599,0.045955490414979483
score,5,30,,-0.15083706587643275,-0.071055642469485161,0.20886430289646341
score,5,31,,0,0,0
cut,6,0,-0.089463215321302414,,,
cut,6,1,-0.0053861637134104967,,,
cut,6,2,0.049939531832933426,,,
cut,6,3,0.092184882611036301,,,
cut,6,4,0.13090209662914276,,,
cut,6,5,0.16626878082752228,,,
cut,6,6,0.19955357164144516,,,
cut,6,7,0.23341753333806992,,,
cut,6,8,0.26803502440452576,,,
cut,6,9,0.30370137095451355,,,
cut,6,10,0.34094645082950592,,,
cut,6,11,0.38138648867607117,,,
cut,6,12,0.42091329395771027,,,
cut,6,13,0.46372213959693909,,,
cut,6,14,0.50498983263969421,,,
cut,6,15,0.54669398069381714,,,
cut,6,16,0.58682599663734436,,,
cut,6,17,0.62664875388145447,,,
cut,6,18,0.66347140073776245,,,
cut,6,19,0.70016688108444214,,,
cut,6,20,0.73512202501296997,,,
cut,6,21,0.76566451787948608,,,
cut,6,22,0.79684802889823914,,,
cut,6,23,0.82871636748313904,,,
cut,6,24,0.86238846182823181,,,
cut,6,25,0.89692986011505127,,,
cut,6,26,0.93543580174446106,,,
cut,6,27,0.98874044418334961,,,
cut,6,28,1.0651252865791321,,,
score,6,0,,0,0,0
score,6,1,,-0.001547781760132792,-0.02467579976877201,0.024871209367431018
score,6,2,,0.00067670165974589662,-0.024428170366062985,0.022447364000737942
score,6,3,,0.0069305035841577085,-0.021589350952510029,0.013925732369193955
score,6,4,,0.008793963105020855,-0.01861762337912139,0.0091526567547953741
score,6,5,,0.0058107181777325876,-0.014643893297893522,0.0080414800283266641
score,6,6,,0.0040852183851406007,-0.007420570415834841,0.0032271943705804739
score,6,7,,0.0066221907782805121,-0.0066451483700446937,0.0001018202031263034
score,6,8,,0.0081530957848768605,-0.0053956272837804827,-0.0024740794098973029
score,6,9,,0.0075961369892310658,-0.0012887854434801911,-0.005727305615137515
score,6,10,,0.0082319699156903538,-0.0013417008809331506,-0.0062790103611716349
score,6,11,,0.0026148918187827047,0.0030997270486707793,-0.0053291894240881932
score,6,12,,0.0017060062625759566,0.0034488173207828567,-0.0048008593066761925
score,6,13,,0.00055982435447304781,0.0039129664980397929,-0.0041627089383236612
score,6,14,,-0.00064643379358539452,0.0042670752250672057,-0.0033754182084084925
score,6,15,,-0.0012469132342870575,0.0044678779624107339,-0.0030109985621549497
score,6,16,,-0.0021187917585099299,0.005972369020139875,-0.0036091012548555485
score,6,17,,-0.0021187917585099299,0.005972369020139875,-0.0036091012548555485
score,6,18,,-0.0019646145148744386,0.0056039431537408787,-0.0034060841507790314
score,6,19,,-0.0029598643061852278,0.0058851394130134327,-0.0027730191329427842
score,6,20,,-0.0029252330224155791,0.0055923016231021905,-0.0025257814824880421
score,6,21,,-0.0034094886199592597,0.0058753949204531,-0.0023558130688044561
score,6,22,,-0.0037972658153844268,0.006241455539684037,-0.0023511471229999054
score,6,23,,-0.0040071232451333637,0.0073008129284687215,-0.0031492635790610671
score,6,24,,-0.0055938905245196662,0.0097914274173312998,-0.0040530440169314437
score,6,25,,-0.0077933965139074177,0.010722514903608335,-0.002952218165836715
score,6,26,,-0.009097596754845021,0.011416258410452964,-0.0024338370927345031
score,6,27,,-0.010052294638246027,0.01231722516937403,-0.0024023532984730044
score,6,28,,-0.0089058306135537703,0.011420823554933041,-0.0026099874288786034
score,6,29,,-1.4866087061149349e-05,0.0032535943603819381,-0.0029500831119059173
score,6,30,,0.0064198504781542414,-0.00046500857762996495,-0.0054756348042904511
score,6,31,,0,0,0
cut,7,0,0.5,,,
score,7,0,,0,0,0
score,7,1,,-0.0031371599290483556,0.0084516790140270835,-0.0059294165713524843
score,7,2,,0.025564808589001443,-0.068872981019754836,0.048318990143757817
score,7,3,,0,0,0
cut,8,0,0.11573778837919235,,,
cut,8,1,0.13428172469139099,,,
cut,8,2,0.1466810405254364,,,
cut,8,3,0.15732522308826447,,,
cut,8,4,0.16752584278583527,,,
cut,8,5,0.17667488753795624,,,
cut,8,6,0.18543644994497299,,,
cut,8,7,0.19391041249036789,,,
cut,8,8,0.20243857800960541,,,
cut,8,9,0.21062268316745758,,,
cut,8,10,0.21950586885213852,,,
cut,8,11,0.22749526053667068,,,
cut,8,12,0.23565249145030975,,,
cut,8,13,0.24509747326374054,,,
cut,8,14,0.25446836650371552,,,
cut,8,15,0.26396119594573975,,,
cut,8,16,0.27339528501033783,,,
cut,8,17,0.28355112671852112,,,
cut,8,18,0.29484991729259491,,,
cut,8,19,0.30733641982078552,,,
cut,8,20,0.32130907475948334,,,
cut,8,21,0.33624818921089172,,,
cut,8,22,0.35189360380172729,,,
cut,8,23,0.37119120359420776,,,
cut,8,24,0.39481359720230103,,,
cut,8,25,0.42094326019287109,,,
cut,8,26,0.45710699260234833,,,
cut,8,27,0.5062580406665802,,,
cut,8,28,0.5994078516960144,,,
score,8,0,,0,0,0
score,8,1,,-0.063002558817873325,0.18204954986200653,-0.13338841910030949
score,8,2,,-0.057615091290707764,0.12838128029342291,-0.074405241568391886
score,8,3,,-0.048918877694591988,0.1057313303443886,-0.058793005924493096
score,8,4,,-0.04057571533517778,0.089442744445244582,-0.048551792876577862
